epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,140.624,0.58729,1.02697,1.09565,0.94498,0.39082,0.42436,0.30774,1.76097,2.37425,1.52249,2.64447e-05,2.64447e-05,2.64447e-05
70,143.144,0.89812,0.8932,1.3478,0.94498,0.39082,0.42436,0.30774,1.76097,2.37425,1.52249,2.60207e-05,2.60207e-05,2.60207e-05
71,145.804,0.99608,1.2653,1.35619,0.94498,0.39082,0.42436,0.30774,1.76097,2.37425,1.52249,2.55731e-05,2.55731e-05,2.55731e-05
72,148.258,0.57809,0.6142,1.04282,0.94701,0.39212,0.42304,0.29374,1.78641,2.42166,1.5523,2.5102e-05,2.5102e-05,2.5102e-05
73,150.772,0.68095,0.92152,1.06073,0.94701,0.39212,0.42304,0.29374,1.78641,2.42166,1.5523,2.46073e-05,2.46073e-05,2.46073e-05
74,153.384,0.65882,0.73766,1.16123,0.94701,0.39212,0.42304,0.29374,1.78641,2.42166,1.5523,2.40891e-05,2.40891e-05,2.40891e-05
75,156.246,0.6767,0.5744,1.11002,0.94675,0.39208,0.42364,0.29355,1.76976,2.42168,1.5256,2.35472e-05,2.35472e-05,2.35472e-05
76,158.379,0.5707,0.86477,1.09564,0.94675,0.39208,0.42364,0.29355,1.76976,2.42168,1.5256,2.29819e-05,2.29819e-05,2.29819e-05
77,160.958,0.63065,0.60142,1.08371,0.94675,0.39208,0.42364,0.29355,1.76976,2.42168,1.5256,2.23929e-05,2.23929e-05,2.23929e-05
78,163.464,0.78254,1.07493,1.12974,0.94643,0.39092,0.42547,0.29534,1.80448,2.45873,1.56107,2.17805e-05,2.17805e-05,2.17805e-05
79,166.093,0.58274,0.73779,1.09677,0.94643,0.39092,0.42547,0.29534,1.80448,2.45873,1.56107,2.11444e-05,2.11444e-05,2.11444e-05
80,168.994,0.66857,0.78426,1.11882,0.94643,0.39092,0.42547,0.29534,1.80448,2.45873,1.56107,2.04848e-05,2.04848e-05,2.04848e-05
81,171.751,0.49851,0.45947,0.98498,0.94657,0.39273,0.42636,0.29573,1.80682,2.4457,1.56104,1.98016e-05,1.98016e-05,1.98016e-05
82,174.213,0.7539,0.68798,1.1545,0.94657,0.39273,0.42636,0.29573,1.80682,2.4457,1.56104,1.90949e-05,1.90949e-05,1.90949e-05
83,176.21,0.82633,0.8223,1.21135,0.94657,0.39273,0.42636,0.29573,1.80682,2.4457,1.56104,1.83646e-05,1.83646e-05,1.83646e-05
84,178.9,0.61052,0.59278,1.03171,0.94326,0.39156,0.42612,0.29775,1.80123,2.4555,1.54588,1.76107e-05,1.76107e-05,1.76107e-05
85,181.116,0.64036,0.8185,1.16271,0.94326,0.39156,0.42612,0.29775,1.80123,2.4555,1.54588,1.68333e-05,1.68333e-05,1.68333e-05
86,183.046,0.88108,0.84621,1.15228,0.94326,0.39156,0.42612,0.29775,1.80123,2.4555,1.54588,1.60323e-05,1.60323e-05,1.60323e-05
87,185.348,0.68171,0.78778,1.03098,0.94326,0.39156,0.42612,0.29775,1.80123,2.4555,1.54588,1.52077e-05,1.52077e-05,1.52077e-05
88,187.716,0.76919,0.91816,1.35647,0.94334,0.39029,0.42528,0.2977,1.76684,2.42497,1.49137,1.43596e-05,1.43596e-05,1.43596e-05
89,190.094,1.08811,1.02076,1.52889,0.94334,0.39029,0.42528,0.2977,1.76684,2.42497,1.49137,1.34879e-05,1.34879e-05,1.34879e-05
90,192.378,0.57912,0.6655,0.97623,0.94334,0.39029,0.42528,0.2977,1.76684,2.42497,1.49137,1.25927e-05,1.25927e-05,1.25927e-05
91,194.85,0.52165,0.538,0.93334,0.94334,0.39029,0.42528,0.2977,1.76684,2.42497,1.49137,1.16739e-05,1.16739e-05,1.16739e-05
92,197.106,0.63546,0.76373,0.93599,0.95264,0.3883,0.42339,0.29473,1.74539,2.47802,1.46326,1.07315e-05,1.07315e-05,1.07315e-05
93,199.088,0.39906,0.49193,0.94226,0.95264,0.3883,0.42339,0.29473,1.74539,2.47802,1.46326,9.76562e-06,9.76562e-06,9.76562e-06
94,201.502,0.54568,0.49785,0.89167,0.95264,0.3883,0.42339,0.29473,1.74539,2.47802,1.46326,8.77613e-06,8.77613e-06,8.77613e-06
95,204.166,0.42876,0.50885,0.93096,0.95264,0.3883,0.42339,0.29473,1.74539,2.47802,1.46326,7.76308e-06,7.76308e-06,7.76308e-06
96,206.769,0.43578,0.49051,0.97174,0.94932,0.3881,0.42353,0.29564,1.78006,2.52795,1.50606,6.72648e-06,6.72648e-06,6.72648e-06
97,209.021,0.6724,0.67289,1.02982,0.94932,0.3881,0.42353,0.29564,1.78006,2.52795,1.50606,5.6663e-06,5.6663e-06,5.6663e-06
98,211.083,0.48709,0.52096,0.91542,0.94932,0.3881,0.42353,0.29564,1.78006,2.52795,1.50606,4.58257e-06,4.58257e-06,4.58257e-06
99,213.208,0.56183,0.59054,0.96729,0.94932,0.3881,0.42353,0.29564,1.78006,2.52795,1.50606,3.47528e-06,3.47528e-06,3.47528e-06
100,215.457,0.47224,0.52183,0.96658,0.94444,0.37364,0.42031,0.29242,1.74936,2.54887,1.4751,2.34442e-06,2.34442e-06,2.34442e-06
